dataset,glip
smoke-uvylj,0.431
damage-bah7a,0.093
corrosion-bi3q3,0.003
excavators-czvg9,0.274
chess-pieces-mjzgj,0.017
road-signs-6ih4y,0.036
street-work,0.148
construction-safety-gsnvb,0.259
vehicles-80lt0,0.147
washroom-rf1fa,0.146
circuit-elements,0.001
mask-wearing-608pr,0.008
cables-nl42k,0.01
soda-bottles,0.098
truck-movement,0.007
wine-labels,0.045
digits-t2eg6,0.003
vehicles-q0x2v,0.029
peanuts-sd4kf,0.358
printed-circuit-board,0.0
pests-2xlvx,0.004
cavity-rs0uf,0.029
leaf-disease-nsdsr,0.027
marbles,0.03
pills-sxdht,0.194
poker-cards-cxcvz,-1.0
number-ops,0.055
insects-mytwu,0.024
cotton-20xz5,0.157
furniture-ngpea,0.836
cable-damage,0.006
animals-ij5d2,0.249
coins-1apki,0.175
apples-fvpl,0.271
people-in-paintings,0.168
circuit-voltages,0.009
uno-deck,0.013
grass-weeds,0.106
gauge-u2lwv,0.217
sign-language-sokdr,0.006
valentines-chocolate,0.013
fish-market-ggjso,0.013
lettuce-pallets,0.031
shark-teeth-5atku,0.025
bees-jt5in,0.009
sedimentary-features-9eosf,0.0
currency-v4f8j,0.099
trail-camera,0.512
cell-towers,0.053
farcry6-1videogame,0.248
csgo-1videogame,0.184
avatar-1recognition-1nuexe,0.367
halo-1infinite-1angel-1videogame,0.173
team-1fight-1tactics,0.0
robomasters-1285km,0.003
underwater-1pipes-14ng4t,0.733
aquarium-1qlnqy,0.195
peixos-1fish,0.004
underwater-1objects-15v7p8,0.005
coral-1lwptl,0.001
stomata-1cells,0.012
bccd-1ouzjz,0.191
parasites-11s07h,0.036
cells-1uyemf,0.005
4-1fold-1defect,0.0
bacteria-1ptywi,0.0
cotton-1plant-1disease,0.0
mitosis-1gjs3g,0.001
phages,0.002
liver-1disease,0.0
asbestos,0.007
aerial-1pool,0.013
secondary-1chains,0.0
aerial-1spheres,0.0
soccer-1players-15fuqs,0.065
weed-1crop-1aerial,0.027
aerial-1cows,0.056
cloud-1types,0.006
 thermal-1dogs-1and-1people-1x6ejw,0.47
solar-1panels-1taxvb,0.0
radio-1signal,0.066
thermal-1cheetah-1my4dp,0.028
x-1ray-1rheumatology,0.0
acl-1x-1ray,0.0
abdomen-1mri,0.021
axial-1mri,0.039
gynecology-1mri,0.0
brain-1tumor-1m2pbp,0.003
bone-1fracture-17fylg,0.0
flir-1camera-1objects,0.073
tweeter-1posts,0.005
tweeter-1profile,0.002
document-1parts,0.033
activity-1diagrams-1qdobr,0.002
signatures-1xc8up,0.082
paper-1parts,0.007
tabular-1data-1wf9uh,0.018
paragraphs-1co84b,0.0
